team,rating,talent_prior,form,talent,sp_rating,sp_offense.rating,sp_defense.rating,ret_totalPPA,ret_percentPPA,conference,division,rank
East Tennessee State,-23.15,0.0,3.94,,,,,,,Southern,fcs,176
Southern Utah,-23.82,0.0,3.28,,,,,,,UAC,fcs,178
Richmond,-24.72,0.0,2.38,,,,,,,Patriot,fcs,179
Robert Morris,-25.17,0.0,1.93,,,,,,,NEC,fcs,180
Sacred Heart,-25.45,0.0,1.64,,,,,,,FCS Independents,fcs,181
St. Thomas (MN),-25.58,0.0,1.51,,,,,,,Pioneer,fcs,182
Monmouth,-25.73,0.0,1.36,,,,,,,Coastal Athletic,fcs,183
Western Illinois,-25.89,0.0,1.2,,,,,,,OVC-Big South,fcs,184
Drake,-26.04,0.0,1.05,,,,,,,Pioneer,fcs,185
Colgate,-26.06,0.0,1.03,,,,,,,Patriot,fcs,186
UT Martin,-26.09,0.0,1.0,,,,,,,OVC-Big South,fcs,187
Norfolk State,-26.36,0.0,0.73,,,,,,,MEAC,fcs,188
Presbyterian,-26.59,0.0,0.5,,,,,,,Pioneer,fcs,189
Valparaiso,-26.86,0.0,0.23,,,,,,,Pioneer,fcs,190
Cal Poly,-26.95,0.0,0.15,,,,,,,Big Sky,fcs,191
Northern Arizona,-27.32,0.0,-0.23,,,,,,,Big Sky,fcs,192
San Diego,-27.48,0.0,-0.39,,,,,,,Pioneer,fcs,193
Butler,-27.53,0.0,-0.43,,,,,,,Pioneer,fcs,194
Gardner-Webb,-27.55,0.0,-0.46,,,,,,,OVC-Big South,fcs,195
Stony Brook,-27.6,0.0,-0.51,,,,,,,Coastal Athletic,fcs,196
SE Louisiana,-27.71,0.0,-0.62,,,,,,,Southland,fcs,197
Eastern Washington,-27.79,0.0,-0.69,,,,,,,Big Sky,fcs,198
Campbell,-27.95,0.0,-0.86,,,,,,,Coastal Athletic,fcs,199
Lindenwood,-28.01,0.0,-0.92,,,,,,,OVC-Big South,fcs,200
Marist,-28.33,0.0,-1.24,,,,,,,Pioneer,fcs,201
Lamar,-28.39,0.0,-1.3,,,,,,,Southland,fcs,202
Howard,-28.65,0.0,-1.55,,,,,,,MEAC,fcs,203
Southern,-28.67,0.0,-1.57,,,,,,,SWAC,fcs,204
Weber State,-29.42,0.0,-2.32,,,,,,,Big Sky,fcs,205
Florida A&M,-29.62,0.0,-2.52,,,,,,,SWAC,fcs,206
Chattanooga,-29.68,0.0,-2.58,,,,,,,Southern,fcs,207
Arkansas-Pine Bluff,-30.05,0.0,-2.95,,,,,,,SWAC,fcs,208
Central Connecticut,-30.06,0.0,-2.97,,,,,,,NEC,fcs,209
Alabama A&M,-30.44,0.0,-3.35,,,,,,,SWAC,fcs,210
Northern Iowa,-30.54,0.0,-3.45,,,,,,,MVFC,fcs,211
Wagner,-30.92,0.0,-3.83,,,,,,,NEC,fcs,212
Idaho,-31.15,0.0,-4.06,,,,,,,Big Sky,fcs,213
Duquesne,-31.38,0.0,-4.29,,,,,,,NEC,fcs,214
East Texas A&M,-31.61,0.0,-4.52,,,,,,,Southland,fcs,215
Lafayette,-31.78,0.0,-4.69,,,,,,,Patriot,fcs,216
Long Island University,-31.8,0.0,-4.71,,,,,,,NEC,fcs,217
Southeast Missouri State,-31.82,0.0,-4.73,,,,,,,OVC-Big South,fcs,218
Nicholls,-32.05,0.0,-4.96,,,,,,,Southland,fcs,219
The Citadel,-32.25,0.0,-5.15,,,,,,,Southern,fcs,220
Furman,-32.29,0.0,-5.2,,,,,,,Southern,fcs,221
Towson,-32.34,0.0,-5.25,,,,,,,Coastal Athletic,fcs,222
Charleston Southern,-32.37,0.0,-5.28,,,,,,,OVC-Big South,fcs,223
Bethune-Cookman,-32.79,0.0,-5.7,,,,,,,SWAC,fcs,224
Morgan State,-32.83,0.0,-5.74,,,,,,,MEAC,fcs,225
Central Arkansas,-32.97,0.0,-5.88,,,,,,,UAC,fcs,226
Holy Cross,-33.13,0.0,-6.04,,,,,,,Patriot,fcs,227
North Alabama,-33.46,0.0,-6.36,,,,,,,UAC,fcs,228
Bucknell,-33.52,0.0,-6.43,,,,,,,Patriot,fcs,229
Stonehill,-33.59,0.0,-6.5,,,,,,,NEC,fcs,230
Northern Colorado,-33.89,0.0,-6.8,,,,,,,Big Sky,fcs,231
UAlbany,-34.02,0.0,-6.92,,,,,,,Coastal Athletic,fcs,232
Maine,-34.32,0.0,-7.23,,,,,,,Coastal Athletic,fcs,233
New Hampshire,-34.56,0.0,-7.46,,,,,,,Coastal Athletic,fcs,234
Tennessee State,-35.04,0.0,-7.94,,,,,,,OVC-Big South,fcs,235
New Haven,-35.3,0.0,-8.2,,,,,,,NEC,fcs,236
Hampton,-35.99,0.0,-8.89,,,,,,,Coastal Athletic,fcs,237
Eastern Kentucky,-36.46,0.0,-9.37,,,,,,,UAC,fcs,238
Indiana State,-36.58,0.0,-9.49,,,,,,,MVFC,fcs,239
Eastern Illinois,-36.67,0.0,-9.58,,,,,,,OVC-Big South,fcs,240
Bryant,-36.78,0.0,-9.68,,,,,,,Coastal Athletic,fcs,241
Stetson,-36.8,0.0,-9.71,,,,,,,Pioneer,fcs,242
Houston Christian,-37.19,0.0,-10.09,,,,,,,Southland,fcs,243
West Georgia,-37.34,0.0,-10.25,,,,,,,UAC,fcs,244
Georgetown,-37.35,0.0,-10.26,,,,,,,Patriot,fcs,245
Fordham,-38.05,0.0,-10.96,,,,,,,Patriot,fcs,246
Samford,-38.34,0.0,-11.25,,,,,,,Southern,fcs,247
Mercyhurst,-38.37,0.0,-11.28,,,,,,,NEC,fcs,248
Portland State,-39.51,0.0,-12.41,,,,,,,Big Sky,fcs,249
Merrimack,-39.67,0.0,-12.57,,,,,,,FCS Independents,fcs,250
Murray State,-40.61,0.0,-13.51,,,,,,,MVFC,fcs,251
Davidson,-41.95,0.0,-14.86,,,,,,,Pioneer,fcs,252
Mississippi Valley State,-44.97,0.0,-17.88,,,,,,,SWAC,fcs,253
Utah Tech,-45.01,0.0,-17.92,,,,,,,UAC,fcs,254
VMI,-45.89,0.0,-18.8,,,,,,,Southern,fcs,255
Northwestern State,-45.96,0.0,-18.87,,,,,,,Southland,fcs,256
North Carolina A&T,-48.37,0.0,-21.28,,,,,,,Coastal Athletic,fcs,257
